                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3678,                 5.0702,                 4.2184,                0.01133,                0.00402,                0.00125,                0.00037,                  3.155,                 5.3457,                 4.2859,              0.0033191,              0.0033191,              0.0033191
                      1,                 3.0841,                 4.5617,                 3.8712,                0.36634,                0.07548,                0.03272,                0.00994,                 2.5634,                 5.2875,                 3.4926,              0.0066305,              0.0066305,              0.0066305
                      2,                 2.5027,                 3.6315,                 3.0314,                0.23597,                0.24022,                0.10766,                0.03836,                 2.2157,                 4.0141,                 2.7811,              0.0099198,              0.0099198,              0.0099198
                      3,                 2.1395,                 3.0033,                 2.5613,                0.32557,                0.32893,                 0.2668,                0.10524,                 1.9124,                 2.8497,                 2.4142,               0.009901,               0.009901,               0.009901
                      4,                 1.9367,                 2.5921,                 2.3541,                0.47246,                0.43266,                0.43546,                0.21271,                 1.6845,                 2.3263,                 2.1817,               0.009901,               0.009901,               0.009901
                      5,                 1.7593,                 2.3158,                 2.1776,                0.54988,                0.50113,                0.53201,                 0.2746,                 1.5639,                 2.0262,                 2.0765,               0.009868,               0.009868,               0.009868
                      6,                 1.6648,                 2.1143,                 2.0803,                0.63795,                 0.5086,                0.58271,                0.32199,                  1.496,                 1.7921,                 1.9889,               0.009835,               0.009835,               0.009835
                      7,                 1.5986,                 1.9626,                 1.9992,                0.72598,                0.58934,                0.68545,                0.39333,                 1.3982,                 1.5785,                 1.8948,               0.009802,               0.009802,               0.009802
                      8,                 1.5187,                 1.8473,                 1.9173,                0.71987,                0.61813,                 0.7083,                0.40708,                 1.4163,                  1.491,                 1.8641,               0.009769,               0.009769,               0.009769
                      9,                 1.4504,                 1.7466,                 1.8682,                 0.7512,                0.67549,                0.77198,                0.46932,                 1.2612,                 1.3207,                 1.7351,               0.009736,               0.009736,               0.009736
                     10,                 1.4249,                 1.6538,                 1.8279,                0.79605,                 0.6872,                   0.81,                0.51294,                 1.2005,                 1.2602,                 1.6541,               0.009703,               0.009703,               0.009703
                     11,                  1.362,                 1.5624,                 1.7623,                0.81688,                0.71222,                0.82059,                0.53608,                 1.1754,                 1.1961,                 1.6183,                0.00967,                0.00967,                0.00967
                     12,                 1.3354,                 1.5014,                 1.7354,                 0.8019,                0.72986,                0.82172,                0.53951,                 1.1464,                 1.1541,                 1.6149,               0.009637,               0.009637,               0.009637
                     13,                 1.3026,                 1.4652,                 1.6994,                 0.7931,                0.76535,                0.85156,                0.56702,                 1.1254,                 1.1042,                 1.5804,               0.009604,               0.009604,               0.009604
                     14,                 1.2948,                 1.4245,                 1.6784,                0.83264,                0.78461,                0.86833,                0.57909,                  1.113,                 1.0112,                 1.5553,               0.009571,               0.009571,               0.009571
                     15,                 1.2403,                 1.3792,                 1.6481,                0.83775,                0.78803,                0.87439,                0.58249,                 1.1187,                0.99733,                 1.5426,               0.009538,               0.009538,               0.009538
                     16,                 1.2236,                 1.3334,                 1.6345,                0.86047,                0.77441,                0.87783,                0.60959,                 1.0114,                0.96341,                 1.4729,               0.009505,               0.009505,               0.009505
                     17,                 1.2054,                 1.3084,                  1.606,                0.82523,                0.82401,                0.88831,                0.60669,                 1.0407,                 0.9332,                 1.4709,               0.009472,               0.009472,               0.009472
                     18,                 1.1759,                 1.2636,                 1.5888,                0.88286,                0.80718,                0.88978,                0.63137,                0.99262,                0.91028,                 1.4503,               0.009439,               0.009439,               0.009439
                     19,                 1.1385,                 1.2293,                 1.5534,                0.85376,                0.81442,                0.90485,                0.63853,                0.98779,                0.83792,                 1.4363,               0.009406,               0.009406,               0.009406
                     20,                 1.1449,                  1.215,                 1.5589,                0.90724,                0.84679,                0.93106,                0.67696,                0.94272,                0.77749,                 1.3863,               0.009373,               0.009373,               0.009373
                     21,                 1.1349,                 1.1919,                 1.5464,                0.85898,                0.86053,                0.91885,                 0.6711,                0.93384,                0.80388,                 1.3829,                0.00934,                0.00934,                0.00934
                     22,                 1.1105,                 1.1721,                 1.5315,                0.89192,                0.86181,                0.92288,                0.68436,                0.90371,                0.77019,                 1.3675,               0.009307,               0.009307,               0.009307
                     23,                 1.0935,                 1.1341,                 1.5087,                0.89921,                0.84458,                0.92718,                0.68484,                0.89565,                 0.7756,                 1.3313,               0.009274,               0.009274,               0.009274
                     24,                 1.0895,                 1.0996,                  1.499,                0.88711,                0.88125,                0.94291,                 0.7136,                0.86225,                0.68464,                 1.3186,               0.009241,               0.009241,               0.009241
                     25,                 1.0608,                 1.0628,                 1.4856,                0.89493,                0.84565,                0.92941,                0.70051,                0.86872,                0.72712,                 1.3131,               0.009208,               0.009208,               0.009208
                     26,                 1.0695,                 1.0676,                 1.4818,                0.90723,                0.88463,                0.94771,                0.72025,                0.84874,                0.68205,                 1.3039,               0.009175,               0.009175,               0.009175
                     27,                 1.0487,                  1.035,                  1.461,                 0.9138,                0.88982,                0.95203,                0.73384,                0.81758,                0.66447,                 1.2803,               0.009142,               0.009142,               0.009142
                     28,                  1.016,                 1.0262,                 1.4512,                0.91166,                0.88959,                0.93763,                0.72448,                0.82137,                0.66913,                 1.2811,               0.009109,               0.009109,               0.009109
                     29,                  1.027,                 1.0004,                 1.4499,                0.92432,                0.89165,                 0.9526,                0.75033,                0.77718,                0.61177,                 1.2436,               0.009076,               0.009076,               0.009076
                     30,                 1.0067,                0.98932,                 1.4397,                0.93556,                0.87014,                0.95474,                0.75187,                0.79998,                0.63143,                 1.2618,               0.009043,               0.009043,               0.009043
                     31,                0.99092,                0.97317,                 1.4112,                0.94115,                0.89419,                0.95971,                0.75837,                0.75557,                0.58821,                 1.2186,                0.00901,                0.00901,                0.00901
                     32,                 0.9897,                 0.9595,                 1.4218,                0.92225,                0.93326,                0.96277,                0.75729,                0.77023,                0.60719,                 1.2201,               0.008977,               0.008977,               0.008977
                     33,                0.97435,                 0.9488,                 1.4093,                0.93452,                0.89847,                0.95402,                0.75967,                0.74754,                0.59279,                 1.2158,               0.008944,               0.008944,               0.008944
                     34,                0.99025,                0.92695,                 1.4145,                0.94782,                0.91204,                 0.9659,                0.77569,                0.73372,                0.55818,                 1.1993,               0.008911,               0.008911,               0.008911
                     35,                0.95236,                0.91568,                 1.3871,                0.94888,                0.90475,                0.96883,                0.77747,                0.73745,                0.55091,                 1.2027,               0.008878,               0.008878,               0.008878
                     36,                0.93685,                0.89378,                 1.3747,                 0.9313,                0.92262,                 0.9637,                0.78042,                0.71578,                0.55576,                 1.1786,               0.008845,               0.008845,               0.008845
                     37,                0.94589,                0.89389,                 1.3719,                 0.9206,                0.92973,                0.97123,                0.79811,                0.69813,                0.52423,                 1.1678,               0.008812,               0.008812,               0.008812
                     38,                0.94788,                0.89916,                 1.3844,                0.94735,                0.92096,                0.97206,                0.78499,                0.71189,                0.53071,                 1.1777,               0.008779,               0.008779,               0.008779
                     39,                0.91358,                0.86685,                 1.3661,                0.95463,                0.93801,                0.97502,                0.80682,                0.67227,                0.49073,                 1.1478,               0.008746,               0.008746,               0.008746
                     40,                0.92727,                0.86294,                 1.3674,                0.95843,                0.93088,                0.97443,                0.79481,                0.69209,                0.51708,                 1.1541,               0.008713,               0.008713,               0.008713
                     41,                0.91002,                0.85482,                 1.3549,                0.95069,                 0.9277,                0.96748,                0.79587,                0.68852,                  0.521,                 1.1468,                0.00868,                0.00868,                0.00868
                     42,                0.91283,                0.83994,                 1.3528,                0.96309,                0.92833,                0.97648,                0.80176,                0.67781,                0.48686,                  1.148,               0.008647,               0.008647,               0.008647
                     43,                0.90508,                0.83757,                 1.3441,                0.96372,                0.92894,                0.97542,                0.80715,                0.68136,                0.48398,                 1.1428,               0.008614,               0.008614,               0.008614
                     44,                0.88103,                0.83125,                 1.3303,                0.95035,                0.94274,                 0.9771,                0.81146,                0.66268,                0.48018,                 1.1279,               0.008581,               0.008581,               0.008581
                     45,                0.88486,                0.82115,                 1.3205,                0.95616,                0.95766,                0.98241,                0.82002,                0.65528,                0.44628,                 1.1241,               0.008548,               0.008548,               0.008548
                     46,                0.89215,                0.81289,                 1.3361,                0.96184,                0.94114,                0.98181,                0.81838,                0.64596,                 0.4651,                 1.1113,               0.008515,               0.008515,               0.008515
                     47,                0.86969,                 0.7976,                 1.3243,                0.97155,                0.95362,                0.98287,                0.82273,                 0.6521,                0.44613,                 1.1195,               0.008482,               0.008482,               0.008482
                     48,                0.87219,                0.79895,                 1.3194,                0.95982,                0.94674,                0.98175,                0.83575,                 0.6126,                0.43994,                 1.0745,               0.008449,               0.008449,               0.008449
                     49,                0.86119,                0.79386,                 1.3001,                0.96338,                 0.9569,                0.98545,                0.82908,                0.62456,                0.42988,                 1.0897,               0.008416,               0.008416,               0.008416
                     50,                0.84549,                0.76473,                 1.2991,                0.95838,                0.95265,                0.98272,                  0.829,                0.63096,                0.43421,                 1.0888,               0.008383,               0.008383,               0.008383
                     51,                0.84341,                0.77101,                 1.2882,                 0.9545,                0.95143,                0.97991,                0.83332,                 0.6046,                0.43499,                 1.0788,                0.00835,                0.00835,                0.00835
                     52,                0.84448,                0.75936,                 1.2946,                0.96553,                0.95959,                0.98619,                0.85172,                0.59123,                0.41135,                 1.0791,               0.008317,               0.008317,               0.008317
                     53,                0.83402,                0.74959,                 1.2892,                0.97199,                0.95874,                0.98501,                0.83944,                0.59648,                0.41749,                 1.0724,               0.008284,               0.008284,               0.008284
                     54,                0.83444,                0.74334,                 1.2767,                0.96741,                0.94954,                0.98492,                0.83695,                0.60722,                0.41864,                  1.073,               0.008251,               0.008251,               0.008251
                     55,                0.82821,                0.75184,                 1.2845,                0.96999,                0.94716,                0.98321,                0.84658,                0.59335,                 0.4145,                 1.0681,               0.008218,               0.008218,               0.008218
                     56,                0.81753,                0.74517,                 1.2718,                0.96988,                0.95145,                0.98277,                0.84625,                0.58884,                0.40908,                 1.0625,               0.008185,               0.008185,               0.008185
                     57,                 0.8109,                0.72011,                 1.2666,                0.97743,                0.94838,                0.98574,                 0.8552,                0.57736,                0.39428,                 1.0639,               0.008152,               0.008152,               0.008152
                     58,                0.79727,                0.73447,                 1.2591,                0.97562,                0.96717,                0.98847,                0.85447,                0.56681,                 0.3837,                 1.0477,               0.008119,               0.008119,               0.008119
                     59,                0.79559,                0.73209,                 1.2552,                0.97866,                0.95638,                0.98525,                0.85417,                 0.5757,                0.38737,                 1.0517,               0.008086,               0.008086,               0.008086
                     60,                0.79488,                0.70733,                 1.2557,                0.97318,                0.96179,                 0.9863,                0.86297,                0.55179,                0.38264,                 1.0458,               0.008053,               0.008053,               0.008053
                     61,                0.79485,                 0.7055,                 1.2548,                0.98034,                0.94855,                0.98565,                0.86182,                0.55443,                0.38148,                 1.0403,                0.00802,                0.00802,                0.00802
                     62,                0.78907,                0.70474,                 1.2477,                0.99239,                0.96754,                0.98986,                0.87136,                0.53914,                0.36675,                 1.0276,               0.007987,               0.007987,               0.007987
                     63,                0.79264,                0.71894,                 1.2485,                0.97204,                0.96765,                0.98967,                0.87022,                0.53641,                0.36384,                 1.0326,               0.007954,               0.007954,               0.007954
                     64,                0.78155,                0.68947,                 1.2401,                0.98509,                0.96289,                0.98831,                0.86916,                 0.5406,                0.35792,                 1.0288,               0.007921,               0.007921,               0.007921
                     65,                0.77572,                0.68622,                 1.2339,                0.99014,                 0.9558,                0.98913,                0.87547,                0.53322,                0.36088,                 1.0174,               0.007888,               0.007888,               0.007888
                     66,                0.76765,                0.68845,                 1.2333,                0.98571,                0.96771,                0.98966,                0.87538,                0.52263,                0.34842,                 1.0142,               0.007855,               0.007855,               0.007855
                     67,                0.76456,                0.66105,                  1.229,                0.96687,                0.97069,                0.98789,                0.87751,                0.52216,                0.34906,                 1.0195,               0.007822,               0.007822,               0.007822
                     68,                0.74759,                0.65855,                 1.2221,                0.98114,                0.96168,                0.98874,                0.87416,                0.52159,                0.35733,                 1.0141,               0.007789,               0.007789,               0.007789
                     69,                0.75839,                0.66964,                  1.214,                0.97516,                0.97531,                0.98948,                0.87798,                0.51991,                0.34116,                 1.0091,               0.007756,               0.007756,               0.007756
                     70,                0.73917,                 0.6494,                 1.2023,                0.98039,                0.97044,                0.98968,                0.88348,                 0.5143,                0.34134,                 1.0044,               0.007723,               0.007723,               0.007723
                     71,                0.74963,                0.66011,                 1.2169,                0.98688,                0.97703,                0.99102,                0.88758,                0.50643,                0.33451,                0.99376,                0.00769,                0.00769,                0.00769
                     72,                0.73814,                0.66374,                  1.214,                0.98585,                0.97225,                0.99059,                0.89448,                 0.4868,                0.32578,                0.98379,               0.007657,               0.007657,               0.007657
                     73,                0.73383,                0.65448,                 1.2026,                0.97999,                0.96635,                 0.9907,                 0.8901,                0.49437,                0.32664,                0.98909,               0.007624,               0.007624,               0.007624
                     74,                0.74367,                0.64482,                 1.2113,                0.98527,                0.97693,                0.99291,                0.89099,                0.48961,                0.32434,                0.98692,               0.007591,               0.007591,               0.007591
                     75,                0.72587,                0.63023,                 1.1982,                0.98918,                0.97368,                0.99042,                0.89422,                0.47322,                0.30967,                0.97114,               0.007558,               0.007558,               0.007558
                     76,                0.71621,                0.62757,                 1.1919,                0.99007,                0.97941,                0.99288,                0.90053,                0.47389,                0.30568,                0.96842,               0.007525,               0.007525,               0.007525
                     77,                0.72577,                0.63515,                 1.2014,                 0.9874,                0.97986,                0.99121,                0.89711,                0.48388,                0.31025,                0.97514,               0.007492,               0.007492,               0.007492
                     78,                0.72917,                 0.6328,                 1.1929,                0.99214,                0.97714,                0.99257,                0.90116,                0.46682,                0.30529,                0.96543,               0.007459,               0.007459,               0.007459
                     79,                0.71947,                0.62286,                  1.187,                0.99137,                0.97563,                 0.9923,                0.90488,                0.45717,                0.29683,                0.95311,               0.007426,               0.007426,               0.007426
                     80,                0.71477,                0.61959,                 1.1896,                0.99049,                0.98237,                 0.9925,                0.90837,                0.46249,                0.29872,                0.96051,               0.007393,               0.007393,               0.007393
                     81,                 0.7132,                0.61797,                 1.1786,                  0.988,                0.98502,                 0.9924,                 0.9036,                0.45453,                0.29681,                 0.9569,                0.00736,                0.00736,                0.00736
                     82,                0.70264,                0.61682,                 1.1802,                0.99255,                0.97965,                0.99328,                0.91027,                 0.4538,                0.29091,                 0.9563,               0.007327,               0.007327,               0.007327
                     83,                0.69985,                0.60353,                 1.1805,                   0.99,                0.98194,                0.99371,                0.91049,                0.45355,                0.29099,                0.94532,               0.007294,               0.007294,               0.007294
                     84,                0.69414,                0.60926,                 1.1747,                0.98966,                0.98606,                0.99227,                0.90796,                   0.46,                0.28465,                0.95745,               0.007261,               0.007261,               0.007261
                     85,                0.70403,                0.60732,                 1.1774,                0.98911,                0.98046,                0.99153,                0.91134,                0.44664,                0.29026,                0.94118,               0.007228,               0.007228,               0.007228
                     86,                0.69511,                 0.6014,                 1.1783,                0.99354,                0.98174,                0.99334,                0.90846,                 0.4398,                 0.2855,                0.94549,               0.007195,               0.007195,               0.007195
                     87,                0.69275,                0.59893,                 1.1709,                0.99396,                0.98762,                0.99437,                 0.9172,                0.43209,                0.27326,                0.93815,               0.007162,               0.007162,               0.007162
                     88,                0.68996,                0.59852,                 1.1688,                0.98974,                0.98145,                0.99381,                0.92055,                0.42735,                0.27247,                0.93326,               0.007129,               0.007129,               0.007129
                     89,                0.68618,                0.59244,                 1.1696,                0.99143,                0.98495,                0.99449,                 0.9137,                0.43243,                0.27066,                0.93885,               0.007096,               0.007096,               0.007096
                     90,                0.67134,                0.57237,                 1.1547,                0.98602,                0.98725,                0.99254,                0.91922,                0.43012,                0.27266,                0.92986,               0.007063,               0.007063,               0.007063
                     91,                0.67399,                0.58099,                  1.158,                0.99141,                0.98199,                0.99269,                0.92338,                0.41793,                0.27202,                 0.9278,                0.00703,                0.00703,                0.00703
